Label,Dep,Coef,P,N,Flag
Jun 2022 (fake),LOG_CS,-0.1643,0.0,516312,⚠ SIGNIFICANT
Sep 2022 (fake),LOG_CS,-0.1346,0.0,516312,⚠ SIGNIFICANT
Dec 2022 (fake),LOG_CS,-0.1107,0.0,516312,⚠ SIGNIFICANT
Jun 2023 (fake),LOG_CS,-0.0568,0.0,516312,⚠ SIGNIFICANT
Jun 2022 (fake),LOG_AMIHUD,-0.265,0.0,507273,⚠ SIGNIFICANT
Sep 2022 (fake),LOG_AMIHUD,-0.4312,0.0,507273,⚠ SIGNIFICANT
Dec 2022 (fake),LOG_AMIHUD,-0.4487,0.0,507273,⚠ SIGNIFICANT
Jun 2023 (fake),LOG_AMIHUD,-0.6936,0.0,507273,⚠ SIGNIFICANT
Apr 2022 cutoff,LOG_CS,-0.1355,0.0,169484,⚠ SIGNIFICANT
Apr 2023 cutoff,LOG_CS,-0.0998,0.0,169484,⚠ SIGNIFICANT
Apr 2022 cutoff,LOG_AMIHUD,-0.1671,0.0,165063,⚠ SIGNIFICANT
Apr 2023 cutoff,LOG_AMIHUD,-0.7758,0.0,165063,⚠ SIGNIFICANT
