bw,coef,se,p,n
10,0.2666751087716741,0.08779828605810289,0.002386592766794666,6368
20,0.029153944196162702,0.1119581769834143,0.794555002458387,11894
30,-0.016952293734293074,0.10257517105473593,0.8687338092473389,18159
40,0.0025576336138890677,0.0921003854195904,0.9778455420761555,23182
50,-0.03697733742863085,0.08427963983042247,0.6608457418341045,29268
60,-0.03399886909662393,0.08360018218297045,0.6842399826183971,35760
70,0.06853401141526691,0.16661426057565315,0.6808280768712143,41834
80,-0.030121502883949706,0.10454635423801326,0.7732577588612394,47817
90,-0.10574572744369606,0.07556017425049169,0.16166601893602894,53675
100,-0.1269039692901025,0.06385505833050233,0.046880816546645734,59387
110,-0.12604578997730903,0.06847930952345126,0.06567425975066155,65314
120,-0.12467087299669406,0.0704257590504113,0.07668627640966215,71491
130,-0.10374806724016039,0.07500722494862067,0.16661142229376447,77004
140,-0.09219039856777729,0.07572863285097631,0.22346029412359059,83279
150,-0.10451681800111509,0.07716903436184043,0.1756126079434469,89355
160,-0.09898922406652194,0.07899923874434014,0.21019106720396818,95138
170,-0.11039821743544002,0.07911980862218147,0.16291644514869585,101489
180,-0.11417344268871248,0.08007800904845928,0.1539325085560421,107427
190,-0.10204065853908349,0.07953583018347823,0.19950886615334917,112747
200,-0.11767242780322007,0.07945398171454947,0.13860294841662263,118976
210,-0.10729652968208604,0.07849906595711,0.17167200186211462,124581
220,-0.09006205615502422,0.08117684877515093,0.2672339713687719,131110
230,-0.07444887794011953,0.0896968979853029,0.4065359306982359,137468
240,-0.07830485910220969,0.08482049823783597,0.3559117415986851,143059
250,-0.07375850891546581,0.08114918288052833,0.3633897952901639,148433
260,-0.07253585003510815,0.07805607010212132,0.3527446264606784,153701
270,-0.07143765270234032,0.07538226977258557,0.34329655179139407,159629
280,-0.06890875765574218,0.07319349635810345,0.34646911841334815,165521
290,-0.07003725676870401,0.07097279954942332,0.3237317261448993,171140
300,-0.06952609136923486,0.0688821769660159,0.31280774098891406,176845
