Group,POST,Coef,P,N_firms,Stars
Rank 1001-1100 (closest),POST1,-0.1571,0.0,98,***
Rank 1001-1100 (closest),POST2,-0.109,0.0,98,***
Rank 1101-1200,POST1,-0.1205,0.0,98,***
Rank 1101-1200,POST2,-0.0845,0.0,98,***
Rank 1201-1300,POST1,-0.1571,0.0,99,***
Rank 1201-1300,POST2,-0.1117,0.0,99,***
Rank 1301-1400,POST1,-0.1554,0.0,98,***
Rank 1301-1400,POST2,-0.0938,0.0,98,***
Rank 1401-1500 (farthest),POST1,-0.177,0.0,99,***
Rank 1401-1500 (farthest),POST2,-0.1302,0.0,99,***
Other sectors,POST1,-0.1527,0.0,492,***
Other sectors,POST2,-0.1055,0.0,492,***
Close (T1),POST1,-0.1447,0.0,154,***
Close (T1),POST2,-0.0932,0.0,154,***
Mid (T2),POST1,-0.1527,0.0,169,***
Mid (T2),POST2,-0.1074,0.0,169,***
Far (T3),POST1,-0.1609,0.0,169,***
Far (T3),POST2,-0.1168,0.0,169,***
